timesteps,episode_reward,episode_length
35111,-46.992943,200.0
35173,-14.561707,62.0
35336,-33.752673,163.0
35373,-9.604017,37.0
35401,-4.91234,28.0
35448,-12.848921,47.0
35563,-22.015444,115.0
35720,-26.239246,157.0
35920,-38.672906,200.0
36101,-29.458695,181.0
36143,-12.468426,42.0
36179,-9.256155,36.0
36214,-8.523184,35.0
36252,-10.876115,38.0
36283,-7.41414,31.0
36344,-10.352119,61.0
36417,-12.02481,73.0
36452,-7.699531,35.0
36482,-4.896873,30.0
36519,-10.223015,37.0
36552,-7.089409,33.0
36601,-13.179011,49.0
36651,-10.942273,50.0
36710,-15.508945,59.0
36739,-4.561105,29.0
36788,-10.485339,49.0
36822,-8.355064,34.0
37022,-48.652248,200.0
37153,-23.168436,131.0
37205,-14.146634,52.0
37263,-11.126796,58.0
37297,-8.180901,34.0
37497,-54.766055,200.0
37534,-7.98989,37.0
37594,-11.844362,60.0
37632,-9.409403,38.0
37664,-7.530486,32.0
37703,-9.984297,39.0
37854,-23.630959,151.0
38054,-39.8521,200.0
38094,-9.446494,40.0
38233,-21.498763,139.0
38294,-10.957087,61.0
38494,-51.676262,200.0
38694,-42.036178,200.0
38722,-4.734076,28.0
38781,-11.487958,59.0
38845,-13.584846,64.0
38882,-9.797534,37.0
38918,-10.462161,36.0
38975,-12.578855,57.0
39036,-14.640539,61.0
39074,-9.099962,38.0
39128,-12.793272,54.0
39214,-18.380604,86.0
39247,-7.951609,33.0
39282,-9.019164,35.0
39482,-42.312382,200.0
39510,-4.075561,28.0
39548,-6.957001,38.0
39583,-8.412695,35.0
39628,-9.906676,45.0
39726,-18.445563,98.0
39754,-5.257249,28.0
39783,-4.591405,29.0
39827,-10.002859,44.0
39908,-12.155446,81.0
39953,-9.649692,45.0
39982,-7.784425,29.0
40030,-12.008378,48.0
40087,-12.690455,57.0
40122,-10.296987,35.0
40153,-6.816133,31.0
40212,-13.536327,59.0
40316,-18.511412,104.0
40349,-7.413001,33.0
40391,-10.453109,42.0
40454,-16.969474,63.0
40512,-11.544835,58.0
40562,-12.032556,50.0
40610,-10.14064,48.0
40664,-15.240097,54.0
40699,-9.256708,35.0
40746,-10.791714,47.0
40834,-16.427197,88.0
40939,-18.206898,105.0
40975,-9.986434,36.0
