timesteps,episode_reward,episode_length
75254,-15.185753,52.0
75296,-13.349184,42.0
75496,-46.90211,200.0
75696,-52.480643,200.0
75896,-53.582272,200.0
76096,-56.640824,200.0
76296,-53.287896,200.0
76378,-23.113512,82.0
76578,-51.521103,200.0
76628,-17.880825,50.0
76828,-55.300084,200.0
77028,-54.313769,200.0
77074,-12.189137,46.0
77274,-48.525318,200.0
77317,-13.054747,43.0
77412,-25.390746,95.0
77501,-23.672699,89.0
77551,-17.388141,50.0
77661,-32.032728,110.0
77801,-31.545403,140.0
77849,-13.090855,48.0
78049,-51.010584,200.0
78111,-19.751725,62.0
78155,-13.210469,44.0
78355,-58.564972,200.0
78467,-29.170356,112.0
78589,-29.509974,122.0
78789,-59.108976,200.0
78833,-14.031607,44.0
78875,-13.658529,42.0
78989,-33.582907,114.0
79059,-18.942846,70.0
79104,-15.918779,45.0
79304,-49.382744,200.0
79402,-23.200382,98.0
79567,-37.319716,165.0
79607,-10.152378,40.0
79807,-60.217878,200.0
79855,-11.721618,48.0
79898,-11.990849,43.0
79950,-10.654556,52.0
80003,-16.186096,53.0
80203,-60.89769,200.0
80315,-29.179782,112.0
80515,-49.859127,200.0
80565,-10.50269,50.0
80765,-55.479559,200.0
80812,-13.561323,47.0
81012,-57.078235,200.0
81053,-10.955222,41.0
81253,-51.473004,200.0
81368,-31.289628,115.0
81417,-12.477729,49.0
81459,-11.38788,42.0
81592,-28.839382,133.0
81654,-17.993966,62.0
81854,-51.465759,200.0
81900,-13.153133,46.0
82100,-47.366968,200.0
82141,-9.707614,41.0
82182,-12.902055,41.0
82283,-24.213904,101.0
82483,-58.837867,200.0
82683,-57.6487,200.0
82729,-13.24264,46.0
82770,-13.517672,41.0
82970,-59.860742,200.0
83086,-28.509651,116.0
83220,-32.60008,134.0
83265,-13.968148,45.0
83465,-51.26831,200.0
83665,-56.719454,200.0
83865,-54.276096,200.0
83909,-11.609002,44.0
84077,-36.801407,168.0
84137,-19.443439,60.0
84215,-22.592008,78.0
84254,-11.786099,39.0
84454,-57.291945,200.0
84654,-53.724667,200.0
84695,-13.690324,41.0
84895,-51.034322,200.0
85095,-58.787446,200.0
85295,-51.96538,200.0
85495,-50.687176,200.0
85539,-12.867852,44.0
85739,-53.007067,200.0
85786,-12.508171,47.0
85924,-29.66917,138.0
85976,-16.836276,52.0
86176,-44.760243,200.0
86376,-51.655319,200.0
86420,-13.251191,44.0
86471,-15.478201,51.0
86671,-51.285152,200.0
86717,-14.858875,46.0
86917,-51.608152,200.0
86962,-15.885807,45.0
87012,-12.381619,50.0
87212,-45.48324,200.0
87412,-49.356469,200.0
87612,-50.670271,200.0
87669,-16.227944,57.0
87710,-10.340047,41.0
87860,-30.373729,150.0
87964,-27.416749,104.0
88164,-52.966882,200.0
88207,-13.199,43.0
88407,-57.078379,200.0
88607,-39.77392,200.0
88705,-18.169592,98.0
88743,-10.255454,38.0
88943,-49.612895,200.0
88989,-10.352634,46.0
89030,-13.634762,41.0
89140,-24.940784,110.0
89230,-22.859734,90.0
89270,-9.171963,40.0
89470,-46.389652,200.0
89519,-13.675882,49.0
89562,-14.291727,43.0
89609,-13.537194,47.0
89660,-15.431332,51.0
89811,-25.010643,151.0
90011,-55.032555,200.0
90056,-11.204351,45.0
90100,-14.041962,44.0
90300,-42.117168,200.0
90447,-28.75452,147.0
90495,-15.153946,48.0
90637,-30.606396,142.0
90677,-11.577127,40.0
90722,-13.73982,45.0
90782,-16.49569,60.0
90825,-13.04444,43.0
91025,-54.075515,200.0
91072,-14.244924,47.0
91117,-15.797088,45.0
91162,-10.863859,45.0
91212,-13.392913,50.0
91254,-10.145542,42.0
91311,-17.968701,57.0
91392,-20.901297,81.0
91432,-9.641406,40.0
91478,-14.346694,46.0
91678,-46.538521,200.0
91720,-14.903426,42.0
91771,-15.86863,51.0
91816,-13.083252,45.0
91856,-10.064851,40.0
91899,-11.03088,43.0
91950,-15.15429,51.0
92000,-11.397586,50.0
92093,-21.385901,93.0
92293,-45.549599,200.0
92493,-47.011663,200.0
92533,-9.252416,40.0
92584,-11.408851,51.0
92626,-9.56145,42.0
92749,-32.313514,123.0
92793,-9.781443,44.0
92907,-26.23774,114.0
92948,-9.49905,41.0
92989,-9.256238,41.0
93031,-12.142433,42.0
93093,-15.730354,62.0
93131,-9.7714,38.0
93234,-24.702052,103.0
93276,-10.370688,42.0
93369,-25.337776,93.0
93418,-13.99254,49.0
93467,-13.108909,49.0
93520,-15.200549,53.0
93720,-43.492282,200.0
93920,-49.792955,200.0
94054,-28.909821,134.0
94095,-8.676518,41.0
94131,-8.421109,36.0
94283,-33.670881,152.0
94480,-38.63063,197.0
94518,-8.498799,38.0
94557,-9.946792,39.0
94600,-8.391093,43.0
94800,-50.182943,200.0
94890,-24.253693,90.0
