timesteps,episode_reward,episode_length,success
82313,-72.36926083711225,200,0
82513,-61.80908971311083,200,0
82713,-64.48466361375384,200,0
82744,-8.118863142519851,31,1
82944,-88.44321173233007,200,0
83144,-86.16805828934677,200,0
83182,-10.462146369277894,38,1
83382,-64.43934865636118,200,0
83582,-73.61154868488836,200,0
83782,-72.84953747744665,200,0
83982,-57.68049149782467,200,0
84182,-78.00986472985514,200,0
84382,-63.257377172764585,200,0
84582,-65.84390982531446,200,0
84782,-60.83659452293895,200,1
84939,-37.57587647459698,157,1
85053,-31.930699059220615,114,1
85253,-65.78061764043706,200,0
85453,-96.74652011977965,200,0
85653,-68.93929390163454,200,0
85853,-68.43719963778658,200,0
85975,-35.31272754338808,122,1
86175,-65.38174456345156,200,0
86375,-83.99493355766043,200,0
86575,-71.88333301322118,200,0
86775,-72.1410110512475,200,0
86975,-80.85127334266134,200,0
87175,-80.6263486466215,200,0
87375,-73.86784739883626,200,0
87417,-16.29499878290224,42,1
87617,-67.80706975175471,200,0
87817,-81.84025496541418,200,0
88017,-68.27230757248559,200,0
88217,-87.64943925228535,200,0
88343,-32.756052271303005,126,1
88495,-46.598310816158616,152,1
88695,-62.51676275380727,200,0
88725,-7.560642816940126,30,1
88925,-75.56832244013779,200,0
88966,-13.714376754720874,41,1
89001,-8.297060703913367,35,1
89095,-26.328856542972,94,1
89295,-68.30300545341998,200,0
89330,-10.502021459256397,35,1
89363,-7.928346173955848,33,1
89563,-68.46915181990842,200,0
89763,-62.57052069198276,200,0
89874,-30.54002412897182,111,1
90074,-60.43162668486318,200,0
90112,-12.82969572553936,38,1
90312,-72.82975050705727,200,0
90512,-76.90481365101873,200,0
90712,-78.78470293762297,200,0
90912,-70.91337399201448,200,0
91112,-64.92996310573824,200,0
91312,-70.79897197982203,200,0
91512,-61.396373306270306,200,0
91603,-25.664122867041222,91,1
91638,-9.109385189995127,35,1
91676,-10.522755656162772,38,1
91733,-19.01878962614921,57,1
91925,-59.739274476658146,192,1
92125,-57.30190463327217,200,0
92325,-82.15352703734177,200,0
92525,-84.91850696961092,200,0
92725,-70.22811292268568,200,0
92925,-66.76606654530806,200,0
93125,-69.82939755297396,200,0
93325,-68.94231216372908,200,0
93366,-11.658892244767863,41,1
93566,-76.60006236537717,200,0
93766,-56.63284802159232,200,0
93966,-65.1993432437512,200,0
94166,-71.82363085403375,200,0
94198,-6.805254430451166,32,1
94228,-5.2523776389284365,30,1
94428,-61.711371139136006,200,0
94465,-12.461929779532811,37,1
94499,-9.338249841495996,34,1
94699,-68.48049162414338,200,0
94739,-11.788982293795836,40,1
94939,-67.96578272908363,200,0
95139,-63.8786123147133,200,0
95297,-40.71304164888771,158,1
95333,-10.462075010265222,36,1
95533,-70.38691259873546,200,0
95567,-7.666522002433709,34,1
95601,-9.796448351353405,34,1
95724,-28.822303979055544,123,1
